time,gsr
1.601637943038800001e+09,3.407754668670261822e+02
1.601637943055399895e+09,3.408406957200085117e+02
1.601637943175400019e+09,3.409157876952255037e+02
1.601637943265399933e+09,3.409993882882945400e+02
1.601637943385400057e+09,3.410760415846921205e+02
1.601637943636100054e+09,3.411600237693183431e+02
1.601637943636600018e+09,3.412203064966201964e+02
1.601637943715399981e+09,3.412852964907652336e+02
1.601637943805399895e+09,3.413395669663564718e+02
1.601637943925400019e+09,3.413974232374204689e+02
1.601637944148799896e+09,3.414575981869542147e+02
1.601637944149300098e+09,3.415188538270813865e+02
1.601637944255399942e+09,3.415658507597843254e+02
1.601637944346499920e+09,3.416129816864692543e+02
1.601637944465399981e+09,3.416590668775125437e+02
1.601637944688899994e+09,3.417029557324174789e+02
1.601637944689399958e+09,3.417293962405458956e+02
1.601637944795399904e+09,3.417387379514161125e+02
1.601637944915400028e+09,3.417454609538133923e+02
1.601637945005399942e+09,3.417343423662264854e+02
1.601637945125600100e+09,3.417198914065674558e+02
1.601637945289900064e+09,3.416869143224512868e+02
1.601637945335400105e+09,3.416499494609165026e+02
1.601637945455600023e+09,3.416094337588609164e+02
1.601637945545300007e+09,3.415502317221523185e+02
1.601637945665499926e+09,3.414854689351940920e+02
1.601637945859200001e+09,3.414000390329806010e+02
1.601637945875400066e+09,3.413085677499299777e+02
1.601637945995500088e+09,3.411959778501633309e+02
1.601637946085500002e+09,3.410925257573812246e+02
1.601637946205399990e+09,3.409690619546902894e+02
1.601637946398499966e+09,3.408246980037320668e+02
1.601637946415400028e+09,3.406585454661482117e+02
1.601637946535399914e+09,3.405009190238924361e+02
1.601637946625499964e+09,3.403071258581680922e+02
1.601637946745500088e+09,3.400919082198994943e+02
1.601637946939100027e+09,3.398700083600105586e+02
1.601637946955300093e+09,3.396264655591285759e+02
1.601637947075400114e+09,3.393760511973040934e+02
1.601637947165400028e+09,3.391038336842906915e+02
1.601637947285500050e+09,3.388402150894215765e+02
1.601637947509200096e+09,3.385405899812797657e+02
1.601637947509700060e+09,3.382495200975923808e+02
1.601637947645400047e+09,3.379380306962251552e+02
1.601637947705300093e+09,3.376068791344670217e+02
1.601637947825400114e+09,3.372709533088748231e+02
1.601637948048700094e+09,3.369154381457079808e+02
1.601637948049200058e+09,3.365552506706497979e+02
1.601637948155299902e+09,3.361897354783539527e+02
1.601637948245399952e+09,3.358182662926004696e+02
1.601637948365400076e+09,3.354261154270286625e+02
1.601637948485599995e+09,3.350282872947009309e+02
1.601637948650700092e+09,3.346398154378064760e+02
1.601637948725399971e+09,3.342460595573641626e+02
1.601637948785399914e+09,3.338324084835189183e+02
1.601637948905400038e+09,3.334139831458395520e+02
1.601637949026499987e+09,3.329903320428653615e+02
1.601637949218100071e+09,3.325469022629941378e+02
1.601637949235300064e+09,3.320988729940478947e+02
1.601637949355400085e+09,3.316458509928187937e+02
1.601637949445300102e+09,3.311874721452253425e+02
1.601637949565399885e+09,3.307092709270454520e+02
1.601637949758100033e+09,3.302421154736359767e+02
1.601637949775399923e+09,3.297715985190279753e+02
1.601637949895400047e+09,3.292974724656460239e+02
1.601637949985300064e+09,3.288195188450413298e+02
1.601637950135400057e+09,3.283375483178916170e+02
1.601637950333300114e+09,3.278514006740011268e+02
1.601637950333800077e+09,3.273468142930329350e+02
1.601637950435400009e+09,3.268392596540739419e+02
1.601637950525300026e+09,3.263286348051813093e+02
1.601637950645400047e+09,3.258007363842713175e+02
1.601637950869100094e+09,3.252710931286838445e+02
1.601637950869600058e+09,3.247255308054612328e+02
1.601637950975300074e+09,3.241796072810700480e+02
1.601637951065299988e+09,3.236333079909468893e+02
1.601637951185300112e+09,3.230725169603875884e+02
1.601637951439100027e+09,3.225128503141113470e+02
1.601637951439599991e+09,3.219402212065405706e+02
1.601637951545300007e+09,3.213561443522532954e+02
1.601637951605299950e+09,3.207621344658277849e+02
1.601637951725399971e+09,3.201582352409540135e+02
1.601637951845400095e+09,3.195444903713214444e+02
1.601637952038100004e+09,3.189365451107761373e+02
1.601637952055299997e+09,3.183203417428666171e+02
1.601637952145299911e+09,3.176959530904092048e+02
1.601637952265399933e+09,3.170775825154876202e+02
1.601637952385400057e+09,3.164653319700448151e+02
1.601637952578999996e+09,3.158593325351499743e+02
1.601637952595400095e+09,3.152441428608428282e+02
1.601637952685300112e+09,3.146199231573191923e+02
1.601637952805299997e+09,3.140024351949307970e+02
1.601637952925400019e+09,3.133918683129999749e+02
1.601637953118799925e+09,3.127884409799754621e+02
1.601637953135299921e+09,3.121924007934326255e+02
1.601637953225399971e+09,3.116025534591847759e+02
1.601637953345299959e+09,3.110177338121716275e+02
1.601637953465399981e+09,3.104382768373479848e+02
1.601637953688999891e+09,3.098645466487952262e+02
1.601637953689500093e+09,3.092954654688326741e+02
1.601637953795300007e+09,3.087158541096385420e+02
1.601637953885299921e+09,3.081417365037032141e+02
1.601637954005300045e+09,3.075735641524877337e+02
1.601637954228600025e+09,3.069962161264230645e+02
1.601637954229099989e+09,3.063945714959405677e+02
1.601637954335299969e+09,3.057988138619248843e+02
1.601637954425299883e+09,3.051938222948071484e+02
1.601637954545300007e+09,3.045800774251746361e+02
1.601637954635299921e+09,3.039580598836147374e+02
1.601637954797499895e+09,3.033282503007147852e+02
1.601637954875299931e+09,3.026911293070621127e+02
1.601637954965300083e+09,3.020315759730880814e+02
1.601637955085299969e+09,3.013641723395208487e+02
1.601637955175400019e+09,3.006893699078214581e+02
1.601637955398400068e+09,3.000076201794507256e+02
1.601637955415299892e+09,2.993179036349808371e+02
1.601637955505300045e+09,2.986192007549841492e+02
1.601637955625299931e+09,2.979260935801890469e+02
1.601637955745300055e+09,2.972390627411830337e+02
1.601637955938999891e+09,2.965430164375235904e+02
1.601637955955300093e+09,2.958525949681923066e+02
1.601637956045300007e+09,2.951527356618733506e+02
1.601637956165299892e+09,2.944581079466748292e+02
1.601637956285399914e+09,2.937536782804073709e+02
1.601637956508100033e+09,2.930541452203052586e+02
1.601637956508599997e+09,2.923303738140385235e+02
1.601637956585299969e+09,2.915970626188415054e+02
1.601637956705300093e+09,2.908547796526809179e+02
1.601637956825400114e+09,2.901040929335236456e+02
1.601637957049000025e+09,2.893455704793365726e+02
1.601637957049499989e+09,2.885797803080864696e+02
1.601637957125299931e+09,2.878072904377403916e+02
1.601637957245300055e+09,2.870145383469974263e+02
1.601637957365299940e+09,2.862317950241215954e+02
1.601637957455300093e+09,2.854298963876561288e+02
1.601637957649100065e+09,2.846391134258648776e+02
1.601637957665299892e+09,2.838458836174473277e+02
1.601637957785399914e+09,2.830507749803700790e+02
1.601637957905299902e+09,2.822684860718676418e+02
1.601637957995300055e+09,2.814840124788773892e+02
1.601637958155400038e+09,2.807120818877601778e+02
1.601637958235300064e+09,2.799377190145797272e+02
1.601637958325299978e+09,2.791756806748235817e+02
1.601637958445300102e+09,2.783968901744144091e+02
1.601637958565399885e+09,2.776317058889957252e+02
1.601637958788399935e+09,2.768666526846463398e+02
1.601637958788899899e+09,2.760882554274449490e+02
1.601637958865299940e+09,2.753127419537676133e+02
1.601637958985500097e+09,2.745407385398340807e+02
1.601637959075299978e+09,2.737572699017082982e+02
1.601637959325400114e+09,2.729629331864834398e+02
1.601637959325900078e+09,2.721738979722825320e+02
1.601637959405299902e+09,2.713766017378048332e+02
1.601637959526099920e+09,2.705715833718906538e+02
1.601637959615299940e+09,2.697593526342538439e+02
1.601637959865999937e+09,2.689701222549053909e+02
1.601637959866600037e+09,2.681746698941354907e+02
1.601637959945300102e+09,2.673734761825314195e+02
1.601637960065399885e+09,2.665825941817100784e+02
1.601637960185300112e+09,2.657883448538648281e+02
1.601637960407000065e+09,2.650052811105973660e+02
1.601637960407500029e+09,2.642182237640861331e+02
1.601637960516400099e+09,2.634431676176948258e+02
1.601637960605299950e+09,2.626663753753639980e+02
1.601637960725300074e+09,2.618882111511746871e+02
1.601637960815299988e+09,2.611090099300818110e+02
1.601637960975300074e+09,2.603432081071811695e+02
1.601637961025899887e+09,2.595896405174125903e+02
1.601637961145299911e+09,2.588330114564483324e+02
1.601637961265300035e+09,2.581033297504137636e+02
1.601637961355299950e+09,2.573852996949811995e+02
1.601637961517400026e+09,2.566777561250903545e+02
1.601637961565299988e+09,2.559951354358369997e+02
1.601637961685300112e+09,2.553221710520200816e+02
1.601637961805200100e+09,2.546591979585943761e+02
1.601637961895999908e+09,2.540065511405146026e+02
1.601637962116899967e+09,2.533489640225795370e+02
1.601637962135299921e+09,2.527164745600411209e+02
1.601637962225300074e+09,2.520938161776981588e+02
1.601637962345299959e+09,2.514813238605053982e+02
1.601637962435300112e+09,2.508949341535735584e+02
1.601637962687000036e+09,2.503491417102516152e+02
1.601637962687599897e+09,2.498131657825619243e+02
1.601637962765300035e+09,2.493015592821060693e+02
1.601637962885299921e+09,2.487991721501890936e+02
1.601637962976399899e+09,2.483205864275391832e+02
1.601637963234600067e+09,2.478506811845877564e+02
1.601637963235199928e+09,2.473884660310336869e+02
1.601637963305299997e+09,2.469188200373081088e+02
1.601637963425199986e+09,2.464563252441395775e+02
1.601637963516400099e+09,2.459858315928327954e+02
1.601637963635299921e+09,2.455374935551455735e+02
1.601637963836600065e+09,2.450961610723828414e+02
1.601637963845200062e+09,2.446466840858492731e+02
1.601637963965300083e+09,2.441894849678792809e+02
1.601637964055299997e+09,2.437390875009481590e+02
1.601637964175299883e+09,2.432646818079517459e+02
1.601637964345400095e+09,2.427807334131123582e+02
1.601637964385299921e+09,2.422875481722582833e+02
1.601637964535300016e+09,2.417854028120912915e+02
1.601637964626399994e+09,2.412730739092981764e+02
1.601637964715300083e+09,2.407649104715952149e+02
1.601637964916199923e+09,2.402470004281637443e+02
1.601637964925199986e+09,2.397336636575935245e+02
1.601637965045200109e+09,2.392094879390508595e+02
1.601637965165299892e+09,2.387043655821550772e+02
1.601637965255300045e+09,2.382028843660723680e+02
1.601637965375299931e+09,2.377037626092365485e+02
1.601637965540400028e+09,2.372213201902374635e+02
1.601637965585200071e+09,2.367401740173678490e+02
1.601637965705199957e+09,2.362605425590764128e+02
1.601637968561199903e+09,2.357685137445445491e+02
1.601637968566400051e+09,2.352940090125180461e+02
1.601637968569799900e+09,2.348075147320220708e+02
1.601637968573600054e+09,2.343389523418025817e+02
1.601637968577199936e+09,2.338729387501521728e+02
1.601637968581000090e+09,2.333940908653637791e+02
1.601637968584000111e+09,2.329025980267596481e+02
1.601637968587300062e+09,2.323986204445354247e+02
1.601637968591200113e+09,2.318822891997605211e+02
