,ecg
1607013277.356,1234.0
1607013277.358,1227.0
1607013277.3601,1215.0
1607013277.362,1200.0
1607013277.364,1188.0
1607013277.366,1174.0
1607013277.368,1157.0
1607013277.37,1150.0
1607013277.372,1145.0
1607013277.374,1130.0
1607013277.376,1113.0
1607013277.378,1101.0
1607013277.38,1091.0
1607013277.382,1079.0
1607013277.3841,1065.0
1607013277.3861,1055.0
1607013277.388,1048.0
1607013277.39,1033.0
1607013277.392,1019.0
1607013277.394,1012.0
1607013277.396,1019.0
1607013277.398,1026.0
1607013277.4,1004.0
1607013277.4021,982.0
1607013277.404,992.0
1607013277.406,980.0
1607013277.408,934.0
1607013277.4101,915.0
1607013277.412,915.0
1607013277.414,905.0
1607013277.8099,895.0
1607013277.8109,890.0
1607013277.8134,874.0
1607013277.816,837.0
1607013277.818,890.0
1607013277.8199,1186.0
1607013277.8221,1571.0
1607013277.8239,1639.0
1607013277.8259,1140.0
1607013277.8279,399.0
1607013277.8299,193.0
1607013277.832,532.0
1607013277.8339,699.0
1607013277.8361,653.0
1607013277.8381,706.0
1607013277.8399,745.0
1607013277.8419,702.0
1607013277.844,702.0
1607013277.8459,721.0
1607013277.8479,704.0
1607013277.85,692.0
1607013277.8519,702.0
1607013277.8539,694.0
1607013277.8559,677.0
1607013277.8579,682.0
1607013277.8599,687.0
1607013277.8619,673.0
1607013277.8639,660.0
1607013277.8659,668.0
1607013277.8679,673.0
1607013277.8699,673.0
1607013277.8719,675.0
1607013277.8739,675.0
1607013277.8759,682.0
1607013277.8779,690.0
1607013277.8799,692.0
1607013277.8819,694.0
1607013277.8839,699.0
1607013277.8859,706.0
1607013277.8879,709.0
1607013277.8899,706.0
1607013277.8919,706.0
1607013277.8939,704.0
1607013277.8959,699.0
1607013277.8979,690.0
1607013277.8999,668.0
1607013277.9019,639.0
1607013277.9039,610.0
1607013277.9059,578.0
1607013277.9079,544.0
1607013277.9099,522.0
1607013277.9119,513.0
1607013277.9139,508.0
1607013277.9159,503.0
1607013277.9179,501.0
1607013277.92,501.0
1607013277.922,506.0
