,ecg
1606923414.0316,275.0
1606923414.0335,267.0
1606923414.0355,260.0
1606923414.0376,256.0
1606923414.0395,232.0
1606923414.0415,227.0
1606923414.0434,263.0
1606923414.0454,267.0
1606923414.0474,263.0
1606923414.0494,282.0
1606923414.0515,263.0
1606923414.0534,246.0
1606923414.0555,265.0
1606923414.0575,258.0
1606923414.0594,236.0
1606923414.0615,272.0
1606923414.0636,311.0
1606923414.0654,275.0
1606923414.0675,263.0
1606923414.0694,291.0
1606923414.0715,272.0
1606923414.0735,239.0
1606923414.0754,256.0
1606923414.0774,270.0
1606923414.0794,253.0
1606923414.0815,267.0
1606923414.0835,296.0
1606923414.0854,282.0
1606923414.0874,248.0
1606923414.0894,244.0
1606923414.0916,265.0
1606923414.0934,277.0
1606923414.0954,260.0
1606923414.0974,246.0
1606923414.0994,260.0
1606923414.1015,277.0
1606923414.1035,248.0
1606923414.1054,212.0
1606923414.1075,236.0
1606923414.1094,260.0
1606923414.1115,258.0
1606923414.1134,315.0
1606923414.1154,370.0
1606923414.1174,327.0
1606923414.1194,263.0
1606923414.1215,229.0
1606923414.1235,212.0
1606923414.5802,215.0
1606923414.5813,217.0
1606923414.5836,215.0
1606923414.5863,232.0
1606923414.5883,227.0
1606923414.5902,203.0
1606923414.5922,232.0
1606923414.5942,327.0
1606923414.5962,660.0
1606923414.5982,1347.0
1606923414.6002,1854.0
1606923414.6022,1311.0
1606923414.6042,-246.0
1606923414.6061,-1169.0
1606923414.6082,-526.0
1606923414.6101,236.0
1606923414.6122,179.0
1606923414.6141,105.0
1606923414.6161,282.0
1606923414.6181,289.0
1606923414.6204,215.0
1606923414.6222,232.0
1606923414.6241,229.0
1606923414.6261,256.0
1606923414.6281,351.0
1606923414.6301,370.0
1606923414.6322,330.0
1606923414.6341,358.0
1606923414.6361,382.0
1606923414.6383,356.0
1606923414.6401,366.0
1606923414.6421,433.0
1606923414.6441,502.0
1606923414.6461,512.0
1606923414.6481,497.0
1606923414.6501,564.0
1606923414.6521,653.0
1606923414.6541,641.0
1606923414.6562,622.0
1606923414.6581,674.0
1606923414.6601,674.0
1606923414.6622,600.0
1606923414.6641,602.0
1606923414.6661,600.0
1606923414.6681,454.0
1606923414.6701,313.0
1606923414.6722,265.0
1606923414.6741,165.0
1606923414.6761,26.0
1606923414.6781,-21.0
1606923414.6801,-2.0
1606923414.6821,-40.0
1606923414.6841,-95.0
1606923414.6861,-64.0
1606923414.6882,-4.0
1606923414.6902,-11.0
1606923414.6922,-35.0
1606923414.6941,7.0
1606923414.6961,47.0
1606923414.6981,4.0
1606923414.7001,2.0
1606923414.7021,66.0
1606923414.7041,38.0
1606923414.7062,-21.0
1606923414.7081,57.0
1606923414.7101,129.0
1606923414.7121,55.0
1606923414.7141,16.0
1606923414.7161,83.0
1606923414.7181,98.0
1606923414.7201,26.0
1606923414.7224,14.0
1606923414.7242,98.0
1606923415.1801,114.0
1606923415.181,40.0
1606923415.1837,35.0
