,hr,rr,ecg,gsr,temperature
1602587565.5115,63.0,979.0,1404.0,424.9999999999392,34.31
1602587565.5133,63.0,979.0,1382.0,424.9999999999392,34.31
1602587565.5154,63.0,979.0,1360.0,424.9999999999392,34.31
1602587565.5174,63.0,979.0,1338.0,424.9999999999392,34.31
1602587565.5193,63.0,979.0,1316.0,424.9999999999392,34.31
1602587565.5213,63.0,979.0,1304.0,424.9999999999392,34.31
1602587565.5233,63.0,979.0,1299.0,424.9999999999392,34.31
1602587565.5254,63.0,979.0,1285.0,424.9999999999392,34.31
1602587565.5273,63.0,979.0,1268.0,424.9999999999392,34.31
1602587565.5293,63.0,979.0,1246.0,424.9999999999392,34.31
1602587565.5313,63.0,979.0,1217.0,424.9999999999392,34.31
1602587565.5333,63.0,979.0,1190.0,424.9999999999392,34.31
1602587565.5353,63.0,979.0,1183.0,424.9999999999392,34.31
1602587565.5373,63.0,979.0,1178.0,424.9999999999392,34.31
1602587565.5393,63.0,979.0,1161.0,424.9999999999392,34.31
1602587565.5413,63.0,979.0,1137.0,424.9999999999392,34.31
1602587565.5433,63.0,979.0,1120.0,424.9999999999392,34.31
1602587565.5453,63.0,979.0,1108.0,424.9999999999392,34.31
1602587565.5473,63.0,979.0,1096.0,424.9999999999392,34.31
1602587565.5493,63.0,979.0,1081.0,424.9999999999392,34.31
1602587565.5513,63.0,979.0,1069.0,424.9999999999392,34.31
1602587565.5533,63.0,979.0,1052.0,424.9999999999392,34.31
1602587565.5553,63.0,979.0,1030.0,424.9999999999392,34.31
1602587565.5574,63.0,979.0,1018.0,424.9999999999392,34.31
1602587565.5593,63.0,979.0,1013.0,424.9999999999392,34.31
1602587565.5613,63.0,979.0,999.0,424.9999999999392,34.31
1602587565.5633,63.0,979.0,977.0,424.9999999999392,34.31
1602587565.5654,63.0,979.0,974.0,424.9999999999392,34.31
1602587565.5673,63.0,979.0,972.0,424.9999999999392,34.31
1602587565.5693,63.0,979.0,943.0,424.9999999999392,34.31
1602587565.5713,63.0,979.0,921.0,424.9999999999392,34.31
1602587565.5733,63.0,979.0,923.0,424.9999999999392,34.31
1602587565.5755,63.0,979.0,923.0,424.9999999999392,34.31
1602587565.5774,63.0,979.0,914.0,424.9999999999392,34.31
1602587565.5793,63.0,979.0,899.0,424.9999999999392,34.31
1602587565.5813,63.0,979.0,887.0,424.9999999999392,34.31
1602587565.5833,63.0,979.0,882.0,424.9999999999392,34.31
1602587565.5853,63.0,979.0,882.0,424.9999999999392,34.31
1602587565.5873,63.0,979.0,873.0,424.9999999999392,34.31
1602587565.5893,63.0,979.0,851.0,424.9999999999392,34.31
1602587565.5914,63.0,979.0,841.0,424.9999999999392,34.31
1602587565.5933,63.0,979.0,839.0,424.9999999999392,34.31
1602587565.5953,63.0,979.0,826.0,424.9999999999392,34.31
1602587565.5973,63.0,979.0,812.0,424.9999999999392,34.31
1602587565.5993,63.0,979.0,812.0,424.9999999999392,34.31
1602587565.6013,63.0,979.0,817.0,424.9999999999392,34.31
1602587565.6033,63.0,979.0,829.0,424.9999999999392,34.31
1602587565.6053,63.0,979.0,819.0,424.9999999999392,34.31
1602587565.6073,63.0,979.0,788.0,424.9999999999392,34.31
1602587565.6093,63.0,979.0,773.0,424.9999999999392,34.31
1602587565.6113,63.0,979.0,771.0,424.9999999999392,34.31
1602587565.6133,63.0,979.0,759.0,424.9999999999392,34.31
1602587565.6153,63.0,979.0,746.0,424.9999999999392,34.31
1602587565.6173,63.0,979.0,737.0,424.9999999999392,34.31
1602587565.6193,63.0,979.0,720.0,424.9999999999392,34.31
1602587565.6213,63.0,979.0,708.0,424.9999999999392,34.31
1602587565.6234,63.0,979.0,696.0,424.9999999999392,34.31
1602587565.6253,63.0,979.0,681.0,424.9999999999392,34.31
1602587565.6273,63.0,979.0,679.0,424.9999999999392,34.31
1602587565.6293,63.0,979.0,683.0,424.9999999999392,34.31
1602587565.6313,63.0,979.0,676.0,424.9999999999392,34.31
1602587565.6333,63.0,979.0,674.0,424.9999999999392,34.31
1602587565.6353,63.0,979.0,756.0,424.9999999999392,34.31
1602587565.6374,63.0,979.0,979.0,424.9999999999392,34.31
1602587565.6393,63.0,979.0,1147.0,424.9999999999392,34.31
1602587565.6413,63.0,979.0,846.0,424.9999999999392,34.31
1602587565.6433,63.0,979.0,266.0,424.9999999999392,34.31
1602587565.6453,63.0,979.0,181.0,424.9999999999392,34.31
1602587565.6473,63.0,979.0,504.0,424.9999999999392,34.31
1602587565.6493,63.0,979.0,586.0,424.9999999999392,34.31
1602587566.0458,63.0,979.0,543.0,424.9999999999392,34.31
1602587566.0462,63.0,979.0,606.0,424.9999999999392,34.31
1602587566.0486,63.0,979.0,625.0,424.9999999999392,34.31
1602587566.0511,63.0,979.0,584.0,424.9999999999392,34.31
1602587566.0532,63.0,979.0,584.0,424.9999999999392,34.31
1602587566.0551,63.0,979.0,599.0,424.9999999999392,34.31
1602587566.0573,63.0,979.0,586.0,424.9999999999392,34.31
1602587566.0592,63.0,979.0,572.0,424.9999999999392,34.31
1602587566.0612,63.0,979.0,565.0,424.9999999999392,34.31
1602587566.0632,63.0,979.0,562.0,424.9999999999392,34.31
1602587566.0652,63.0,979.0,562.0,424.9999999999392,34.31
1602587566.0672,63.0,979.0,557.0,424.9999999999392,34.31
1602587566.0692,63.0,979.0,557.0,424.9999999999392,34.31
1602587566.0713,63.0,979.0,565.0,424.9999999999392,34.31
1602587566.0733,63.0,979.0,567.0,424.9999999999392,34.31
1602587566.0752,63.0,979.0,562.0,424.9999999999392,34.31
